id,article,lo,brand,kirana_group,brand1,variant,product,item,size,size1,volume,uom_type,uom,description,price,long_description,qa_data_uploaded,qa_uploaded_error
4538,490881788,,,,Prakash,Pare Tamatar ,Namkeen,Prakash Pare Tamatar ,200 gm,gm,200,gm,Pack,Prakash Pare Tamatar 200 gm,40,"Bring home the traditional flavours of pare tomato with this treat from Prakash . Ingredients Refined wheat flour, edible oil, tomato pulp, salt, spices . A quality product from Prakash Namkeen which is 100% vegetarian and is manufactured under hygienic conditions.",0,image not found
4539,490881789,,,,Prakash,Papdi Chaat,Namkeen,Prakash Papdi Chaat,200 gm,gm,200,gm,Pack,Prakash Papdi Chaat 200 gm,45," The Prakash Papdi Chat  is a green and sweet chutney drizzled on a bed of papdi, lends a sweet, tangy and savoury note, further fortified with beaten yogurt and finished with chopped onions, tomatoes, coriander leaves and sev, adding crunch to the hearty chaat",0,image not found
4540,490881792,,,,Prakash,Kachori Mini ,Namkeen,Prakash Kachori Mini ,200 gm,gm,200,gm,Pack,Prakash Kachori Mini 200 gm,45,Prakash Kachori Mini is delicious Dryfruit Kachori brings together the savoury crunch of the kachori with the sweet nutty goodness of dryfruits balanced with the right amount of masala. ,0,image not found
4541,490881793,,,,Prakash,Samosa Mini,Namkeen,Prakash Samosa Mini,200 gm,gm,200,gm,Pack,Prakash Samosa Mini 200 gm,45,Prakash Samosa Mini is delicious Dryfruit Samosa brings together the savoury crunch of the evergreen samosa with the sweet nutty goodness of dryfruits balanced with the right amount of masala. ,0,image not found
4542,491070867,,,,Prakash,Chatpati Fulwadi,Namkeen,Prakash Chatpati Fulwadi,200 gm,gm,200,gm,Pack,Prakash Chatpati Fulwadi 200 gm,45,"The Chatpati Fulwadi are very popular. You can gift them to those who love the savoury over the sweet. Its salty and spicy savoury will excite your taste buds.
",0,image not found
4543,491070868,,,,Prakash, Mini Khasta,Namkeen,Prakash Mini Khasta,200 gm,gm,200,gm,Pack,Prakash Mini Khasta 200 gm,45,Prakash Namkeen’s are known for it’s quality and now enjoy a good quality Mini Khasta which taste good and fresh on every bite.,0,image not found
4544,491161407,,,,Prakash,Soan Papdi,Sweet,Prakash Soan Papdi,250 gm,gm,250,gm,Pack,Prakash Soan Papdi 250 gm,60,"Prepared using wheat flour, gram flour, ghee, and sugar, Prakash Soan Papdi is garnished with nuts to give you a delicious bite.",0,image not found
4545,491180683,,,,Patanjali ,Kesar,Kesar,Patanjali Kesar,1 gm,gm,1,gm, Pet,Patanjali Kesar 1 gm Pet,200,"Patanjali Kesar is helpful in bitter, acrid, sultry, lubrication and gas related troubles. It is tasteful, brightens colour, brings glow, aromatic, energizer and brings happiness.",0,image not found
4546,491180685,,,,Patanjali , Pineapple, Jam,Patanjali Pineapple Jam,500 gm,gm,500,gm, Pet,Patanjali Pineapple Jam 500 gm Pet,70,Patanjali Pineapple Jam Very healthy jam made with pine apple as a major component. Also this increases appetite and contains highly essential elements for resistance against common cold & fever.,0,image not found
4547,491180692,Juice,,,Patanjali ,Pine Apple, Juice ,Patanjali Pine Apple Juice ,200 ml,ml,200,ml,Bottle,Patanjali Pine Apple Juice 200 ml,20,Patanjali Pineapple Juice is a  product of Patanjali Ayurved Limited. Ready to serve fruit drink contains fruit juice without any preservative. Taste best when served chilled.,0,image not found
4548,490003823,,,,Aashirvaad, Mutter,Paneer ,Aashirvaad Mutter Paneer ,285 gm,gm,285,gm,Box,Aashirvaad Mutter Paneer 285 gm Box,85,"Enjoy the fresh and rich taste of paneer cubes, readily available in this healthy packet of Aashirvaad Ready Meals Paneer and green peas cooked in a simple tomato gravy ,Your alternative to home cooked food .",0,image not found
4549,490003825,,,,Aashirvaad,Pav Bhaji ,Pav Bhaji ,Aashirvaad Pav Bhaji ,285 gm,gm,285,gm,Box,Aashirvaad Pav Bhaji 285 gm Box,75,"Aashirvaad Pav Bhaji is a blend of fresh vegetables mashed and cooked with butter along with spices. Mashed fresh vegetables simmered in butter and lightly spiced, creating a deliciously mouth-watering dish.",0,image not found
4550,490007742,,,,Britannia , Chocolate,Cake,Britannia Chocolate Cake,130 gm,gm,130,gm,Pack,Britannia Chocolate Cake 130 gm,27,Britannia Chocolate Cake is Soft and delicious cake slices with the goodness of milk fruit and eggs. A chocolaty delight that you won’t forget in a hurry.,0,image not found
4551,490007870,Flour Atta,,,Maggi,2-Minute Veg, Atta Noodles ,Maggi 2-Minute Veg Atta Noodles ,80 gm,gm,80,gm,Pack,Maggi 2-Minute Veg Atta Noodles 80 gm,25,"Maggi Veg Atta Noodles brings to you the goodness of real vegetables and wheat grain, that are a source of fibre. Each delicious serve of Maggi Veg Atta Noodles provides you dietary fibre equal to 3 rotis. So go on and enjoy the taste of your favourite Maggi Veg Atta Noodles.",0,image not found
4552,490003856,,,,Whisper, Maxi Fit Regular ,Sanitary Napkins,Whisper Maxi Fit Regular Sanitary Napkins,8 No s,pcs,8,packs,Pack,Whisper Maxi Fit Regular Sanitary Napkins 8 Pads,77,"Whisper Maxi Fit has Absorbent Funnels , that helps pull in wetness, even after hours and Dri Weave Topsheet, that keeps you feeling clean & dry throughout your period, by preventing liquid from returning to the surface .Maxi Fit range of pads are designed keeping delicate contours in mind.",0,image not found
4553,490007871,Flour Atta,,,Maggi, 2-Miunte Veg, Atta Noodles,Maggi 2-Miunte Veg Atta Noodles,320 gm,gm,320,gm,Pack,Maggi 2-Miunte Veg Atta Noodles 320 gm,95,"Maggi Veg Atta Noodles brings to you the goodness of real vegetables and wheat grain, that are a source of fibre. Each delicious serve of Maggi Veg Atta Noodles provides you dietary fibre equal to 3 rotis. So go on and enjoy the taste of your favourite Maggi Veg Atta Noodles.",0,image not found
4556,490007918,,,,Sumeru ,Sweet Corn, Kernel,Sumeru Sweet Corn Kernel,200 gm,gm,200,gm,Pack,Sumeru Sweet Corn Kernel 200 gm,29,The brand Sumeru Classiques stand for the authentic Indian taste. The Sweet Corn Kernel  in our Classiques brand are prepared with original recipes .,0,image not found
4557,490007992,,,,Amul , Slice,Cheese ,Amul Slice Cheese ,100 gm,gm,100,gm,Pack,Amul Slice Cheese 100 gm (5 Slices),65,"Amul Slice Cheese is a popular cheese for snacking on its own as chiplets and slices. It adds flavour in melted dishes such as soup and sauce recipes. A few dishes which use processed cheese are mashed potatoes, macaroni and cheese, casseroles etc.",0,image not found
4558,490871584,,,,Zandu ,Balm ,Balm ,Zandu Balm ,8 ml,ml,8,ml,Pack,Zandu Balm 8 ml,28,"Zandu Balm is India's No 1 pain relieving balm. It is a trusted balm for over a hundred years. Zandu Balm is synonymous for headache, body ache and cold remedy and considered as the best in the category.",0,image not found
4559,490871593,,,,She Comfort ,Maxi XL Wings , Sanitary Napkins,She Comfort Maxi XL Wings Sanitary Napkins,7 No s,pcs,7,packs,Pack,She Comfort Maxi XL Wings Sanitary Napkins 7 Pads Pack,29,"Apart from an advanced gel technology that helps in better absorption and a top dry-weave cover that keeps you feeling dry for longer, she pads come with unique cottony soft sides and wings that are non-plasticky and non-abrasive.",0,image not found
4560,590000454,,,,Robusta, Kela ,Banana,Banana Robusta Kela ,1 kg,kg,1,kg,Pack,Banana Robusta Kela 1 Kg,25,"Robusta Semi Ripe Bananas are around 6-7 inches long. Robusta has a dissimilar sweet flavour, good smell and the texture is mushy and smooth .",0,image not found
4561,950000454,,,,Robusta, Kela ,Banana,Banana Robusta Kela ,500 gm,gm,500,gm,Pack,Banana Robusta Kela 500 gm,25,"Robusta Semi Ripe Bananas are around 6-7 inches long. Robusta has a dissimilar sweet flavour, good smell and the texture is mushy and smooth .",0,image not found
4562,490000093,,,,Everest , Jal ,jeera,Everest Jal jeera,50 gm,gm,50,gm,Pack,Everest Jaljeera 50 gm,22,"Jaljira is a favourite welcome drink, and a natural choice after meals. A lively mix of spices and condiments that include mint leaf and dry ginger impart a tangy, sizzling character when mixed with plain water.",0,image not found
4563,490000149,,,,Catch,Chicken,Masala,Catch Chicken Masala,100 gm,gm,100,gm,Pack,Catch Chicken Masala 100 gm,58,Catch chicken masala is  a traditional savoury and spicy dish preferred in the Southern regions of India. It is used traditionally in authentic Asian cuisine.,0,image not found
4564,490000153,,,,Catch,Pav Bhaji ,Masala,Catch Pav Bhaji Masala,100 gm,gm,100,gm,Pack,Catch Pav Bhaji Masala 100 gm,45,Catch Pav Bhaji Masala Is A Fine Mixture Of Different Spices Specially Processed For Delectable Pav Bhaji Dish. ,0,image not found
4565,441000000000,,,,Women,Blue Large , Striper ,Women Sublim Striper Blue Large ,1 No s,Pack,1,packs,Pack,Women Sublim Striper Blue Large 1 Nos,699,"Made from satin, this set remains extremely soft against the skin. Featuring a trendy Striper  appeal",0,image not found
4566,441000000000,,,,Women,Blue Large , Striper ,Women Sublim Striper Blue Xlarge,1 No s,Pack,1,packs,Pack,Women Sublim Striper Blue Xlarge 1 Nos,699,"Made from satin, this set remains extremely soft against the skin. Featuring a trendy Striper  appeal",0,image not found
4567,590004102,,,, Baingan Dharidar,Baingan Dharidar,Brinjal ,Brinjal Purple Striped--Baingan Dharidar,1 kg,kg,1,kg,Pack,Brinjal Purple Striped--Baingan Dharidar 1 Kg,32,"Brinjal purple striped are egg-shaped, white-striped purple coloured with a bitter taste. They are low in sodium, saturated fat, and cholesterol. They are a good source of dietary fibre and help in keeping blood sugar under control, lowering cholesterol,",0,image not found
4568,590003541,,,,Bitter,Gourd-Karela,Vegetable,Bitter Gourd-Karela,1 kg,kg,1,kg,Pack,Bitter Gourd-Karela 1 Kg,60," Bitter gourd or karela is a unique vegetable-fruit that can be used as food or medicine. Though its size, texture and bitterness vary between the different regions in which it grows - and is rich in vital vitamins and minerals.",0,image not found
4570,490871650,,,,Elly, Pocket,Comb ,Elly Pocket Comb ,1 No s,pcs,1,packs,Pack,Elly Pocket Comb 1 Nos,15,"Elly Pocket comb is light weight and fits right in your pocket. You can use it forwards and backwards, you can part your hair, style it, or just comb it regular.",0,image not found
