"178","India","Maharashtra","Navi Mumbai","Nerul","Sector 36"
"179","India","Maharashtra","Navi Mumbai","Nerul","Sector 40"
"180","India","Maharashtra","Navi Mumbai","Nerul","Sector 42"
"181","India","Maharashtra","Navi Mumbai","Nerul","Sector 42A"
"182","India","Maharashtra","Navi Mumbai","Nerul","Sector 44"
"183","India","Maharashtra","Navi Mumbai","Nerul","Sector 44A"
"184","India","Maharashtra","Navi Mumbai","Nerul","Sector 46"
"185","India","Maharashtra","Navi Mumbai","Nerul","Sector 46A"
"186","India","Maharashtra","Navi Mumbai","Nerul","Sector 52"
"187","India","Maharashtra","Navi Mumbai","Nerul","Sector 54"
"188","India","Maharashtra","Navi Mumbai","Nerul","Sector 56"
"189","India","Maharashtra","Navi Mumbai","Nerul","Sector 58"
"190","India","Maharashtra","Navi Mumbai","Nerul","Sector 58A"
"191","India","Maharashtra","Navi Mumbai","Nerul","Sector 60"
"192","India","Maharashtra","Navi Mumbai","Belapur","Sector 1"
"193","India","Maharashtra","Navi Mumbai","Belapur","Sector 1A"
"194","India","Maharashtra","Navi Mumbai","Belapur","Sector 2"
"195","India","Maharashtra","Navi Mumbai","Belapur","Sector 3"
"196","India","Maharashtra","Navi Mumbai","Belapur","Sector 3A"
"197","India","Maharashtra","Navi Mumbai","Belapur","Sector 4"
"198","India","Maharashtra","Navi Mumbai","Belapur","Sector 5"
"199","India","Maharashtra","Navi Mumbai","Belapur","Sector 6"
"200","India","Maharashtra","Navi Mumbai","Belapur","Sector 7"
"201","India","Maharashtra","Navi Mumbai","Belapur","Sector 8"
"202","India","Maharashtra","Navi Mumbai","Belapur","Sector 8A"
"203","India","Maharashtra","Navi Mumbai","Belapur","Sector 8B"
"204","India","Maharashtra","Navi Mumbai","Belapur","Sector 9"
"205","India","Maharashtra","Navi Mumbai","Belapur","Sector 10"
"206","India","Maharashtra","Navi Mumbai","Belapur","Sector 11"
"207","India","Maharashtra","Navi Mumbai","Belapur","Sector 12"
"208","India","Maharashtra","Navi Mumbai","Belapur","Sector 13"
"209","India","Maharashtra","Navi Mumbai","Belapur","Sector 14"
"210","India","Maharashtra","Navi Mumbai","Belapur","Sector 15"
"211","India","Maharashtra","Navi Mumbai","Belapur","Sector 19"
"212","India","Maharashtra","Navi Mumbai","Belapur","Sector 20"
"213","India","Maharashtra","Navi Mumbai","Belapur","Sector 21"
"214","India","Maharashtra","Navi Mumbai","Belapur","Sector 22"
"215","India","Maharashtra","Navi Mumbai","Belapur","Sector 23"
"216","India","Maharashtra","Navi Mumbai","Belapur","Sector 24"
"217","India","Maharashtra","Navi Mumbai","Belapur","Sector 25"
"218","India","Maharashtra","Navi Mumbai","Belapur","Sector 26"
"219","India","Maharashtra","Navi Mumbai","Belapur","Sector 27"
"220","India","Maharashtra","Navi Mumbai","Belapur","Sector 28"
"221","India","Maharashtra","Navi Mumbai","Belapur","Sector 29"
"222","India","Maharashtra","Navi Mumbai","Belapur","Sector 30"
"223","India","Maharashtra","Navi Mumbai","Belapur","Sector 31"
"224","India","Maharashtra","Navi Mumbai","Kharghar","Sector 1"
"225","India","Maharashtra","Navi Mumbai","Kharghar","Sector 2"
"226","India","Maharashtra","Navi Mumbai","Kharghar","Sector 3"
"227","India","Maharashtra","Navi Mumbai","Kharghar","Sector 4"
"228","India","Maharashtra","Navi Mumbai","Kharghar","Sector 5"
"229","India","Maharashtra","Navi Mumbai","Kharghar","Sector 6"
"230","India","Maharashtra","Navi Mumbai","Kharghar","Sector 7"
"231","India","Maharashtra","Navi Mumbai","Kharghar","Sector 8"
"232","India","Maharashtra","Navi Mumbai","Kharghar","Sector 9"
"233","India","Maharashtra","Navi Mumbai","Kharghar","Sector 10"
